year,ersstArc.win,ersstArc.spr,ersstArc.sum,ersstArc.aut,ersstWAcoast.win,ersstWAcoast.spr,ersstWAcoast.sum,ersstWAcoast.aut,transport.win,transport.spr,transport.sum,transport.aut,CRflow.win,CRflow.spr,CRflow.sum,CRtemp.spr,CRtemp.sum,cui.win,cui.spr,cui.sum,cui.aut,mei.win,mei.spr,mei.sum,mei.aut,npgo.win,npgo.spr,npgo.sum,npgo.aut,npi.win,npi.spr,npi.sum,npi.aut,oni.win,oni.spr,oni.sum,oni.aut,pdo.win,pdo.spr,pdo.sum,pdo.aut,F.S2.ParrSu,F.S3.ParrF,T.S2.ParrSu,T.S4.ParrW,aprmayjunetempLGR,aprmayjuneflowLGR,aprmayjunBON.scrollTEMP,aprmayjunFLOW.obs
1913,-0.655898044027131,-0.615473446078684,-0.511437784392258,-0.785907576550012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.37,1013.17333333333,1016.37,1013.00333333333,NA,NA,NA,NA,0.43,-0.0666666666666667,1.26,0.7,NA,NA,NA,NA,NA,NA,NA,NA
1914,-0.754511697264923,-0.36832373553309,-0.80272538360508,-0.618531527464417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005.51,1015.77333333333,1015.99666666667,1012.80333333333,NA,NA,NA,NA,0.316666666666667,0.463333333333333,0.00333333333333334,-0.14,NA,NA,NA,NA,NA,NA,NA,NA
1915,-0.416870124860742,-0.0454674446719816,0.0159078948799221,-0.514155576969015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.88333333333,1010.49333333333,1018.29,1013.91,NA,NA,NA,NA,0.206666666666667,0.166666666666667,0.776666666666667,-0.2,NA,NA,NA,NA,NA,NA,NA,NA
1916,-0.667698776173866,-0.962247345639371,-1.42652241772619,-1.30903017192051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013.16333333333,1015.02333333333,1016.94333333333,1015.83,NA,NA,NA,NA,-0.22,0.22,-0.776666666666667,-0.556666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1917,-0.996875648799984,-0.933476797328598,-0.761707143125863,-0.627208863729718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.67333333333,1015.73,1018.37,1014.13,NA,NA,NA,NA,-1.19,-0.0766666666666667,-0.05,-0.83,NA,NA,NA,NA,NA,NA,NA,NA
1918,-0.229162954050919,-0.431434076750416,-0.370021833770577,-0.440300889946948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.72666666667,1017.02666666667,1016.12333333333,1012.35,NA,NA,NA,NA,-0.796666666666667,-0.6,0.246666666666667,0.12,NA,NA,NA,NA,NA,NA,NA,NA
1919,-1.04153779231269,-0.932072865483405,-1.09270240630227,-0.643427383214578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007,1011.77666666667,1017.98,1015.00333333333,NA,NA,NA,NA,0.366666666666667,-0.0833333333333333,-0.266666666666667,-0.386666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1920,-0.721017436254984,-0.7298838717499,-0.652877390795741,-0.847763088927872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.08333333333,1017.07666666667,1015.47666666667,1012.66,NA,NA,NA,NA,-0.12,-1.01333333333333,-1.47,-0.866666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1921,-0.875337392297284,-0.646763356389671,-0.680516620340018,-0.466690321900379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007.99333333333,1015.62,1016.38333333333,1012.17,NA,NA,NA,NA,-0.326666666666667,-0.453333333333333,-0.29,0.303333333333333,NA,NA,NA,NA,NA,NA,NA,NA
1922,-0.555770713844518,-0.848180678795124,-0.587922752588645,-0.346598011871864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.06,1014.51666666667,1018.25666666667,1013.68333333333,NA,NA,NA,NA,0.54,0.106666666666667,-0.93,-0.19,NA,NA,NA,NA,NA,NA,NA,NA
