Year,DJ,JF,FM,MA,AM,MJ,JJ,JA,AS,SO,ON,ND,n,MEIv2MeanDecToMar,MEIv2MeanMarToJun,MEIv2MeanJunToSep,MEIv2MeanSepToDec,mei.win,mei.spr,mei.sum,mei.aut
1990,0.11,0.43,0.61,0.17,0.03,0.04,0.17,0.06,0.21,-0.05,0.12,0.28,12,0.383,0.383,0.383,0.383,0.176666666666667,0.27,0.09,0.09
1991,0.16,0.08,0.21,0.21,0.35,0.89,0.88,0.42,0.62,1.09,1.17,1.29,12,0.15,0.15,0.15,0.15,0.173333333333333,0.256666666666667,0.73,0.96
1992,1.7,1.59,1.72,1.98,1.69,1.58,0.76,0.08,0.5,0.81,0.73,0.78,12,1.67,1.67,1.67,1.67,1.52666666666667,1.79666666666667,0.806666666666667,0.68
1993,0.83,0.93,0.78,0.98,1.48,1.5,0.9,0.62,0.64,0.95,0.7,0.26,12,0.847,0.847,0.847,0.847,0.846666666666667,1.08,1.01,0.763333333333333
1994,0.02,-0.17,-0.21,0.03,0,0.25,0.88,0.84,1.06,1.47,0.99,0.87,12,-0.12,-0.12,-0.12,-0.12,0.0366666666666667,-0.06,0.656666666666667,1.17333333333333
1995,0.77,0.48,0.14,0.18,0.16,0,-0.25,-0.65,-0.86,-0.65,-0.67,-0.82,12,0.463,0.463,0.463,0.463,0.706666666666667,0.16,-0.3,-0.726666666666667
1996,-0.83,-0.81,-0.64,-0.69,-0.83,-0.9,-0.76,-0.6,-0.26,-0.31,-0.3,-0.46,12,-0.76,-0.76,-0.76,-0.76,-0.82,-0.72,-0.753333333333333,-0.29
1997,-0.66,-0.72,-0.29,0.17,0.69,2.25,2.11,2.2,2.17,2.01,2.06,2.04,12,-0.557,-0.557,-0.557,-0.557,-0.61,0.186666666666667,2.18666666666667,2.08
1998,2.23,2.43,2.27,2.55,2.26,0.37,-1.43,-1.74,-1.31,-1.21,-1.3,-1.25,12,2.31,2.31,2.31,2.31,2.23,2.36,-0.93,-1.27333333333333
1999,-1.26,-1.18,-1.11,-1.16,-1.36,-1.26,-1.18,-1.07,-1.17,-1.31,-1.33,-1.43,12,-1.183,-1.183,-1.183,-1.183,-1.23,-1.21333333333333,-1.17333333333333,-1.27
2000,-1.26,-1.27,-1.36,-0.93,-0.97,-1.14,-0.58,-0.08,-0.36,-0.55,-0.91,-0.8,12,-1.297,-1.297,-1.297,-1.297,-1.32,-1.08666666666667,-0.6,-0.606666666666667
2001,-0.82,-0.87,-0.79,-0.61,-0.58,-0.71,-0.01,0.34,-0.07,-0.25,-0.32,0.02,12,-0.827,-0.827,-0.827,-0.827,-0.83,-0.66,-0.13,-0.213333333333333
2002,0.07,-0.26,-0.2,-0.36,-0.1,0.4,0.42,0.97,0.84,0.79,0.76,0.86,12,-0.13,-0.13,-0.13,-0.13,-0.0566666666666667,-0.22,0.596666666666667,0.796666666666667
2003,0.8,0.62,0.53,-0.08,-0.57,-0.07,0,0.02,0.14,0.26,0.29,0.1,12,0.65,0.65,0.65,0.65,0.76,-0.04,-0.0166666666666667,0.23
2004,0.16,-0.04,-0.44,-0.23,-0.44,-0.34,0.43,0.74,0.54,0.34,0.51,0.51,12,-0.107,-0.107,-0.107,-0.107,0.0733333333333333,-0.37,0.276666666666667,0.463333333333333
2005,0.08,0.6,0.82,0.13,0.18,0.2,-0.02,-0.01,-0.05,-0.71,-0.75,-0.73,12,0.5,0.5,0.5,0.5,0.4,0.376666666666667,0.0566666666666667,-0.503333333333333
2006,-0.68,-0.5,-0.62,-0.84,-0.43,-0.23,0.11,0.56,0.63,0.68,0.9,0.59,12,-0.6,-0.6,-0.6,-0.6,-0.636666666666667,-0.626666666666667,0.146666666666667,0.736666666666667
2007,0.62,0.39,-0.22,-0.36,-0.44,-0.86,-0.77,-0.94,-1.1,-1.14,-1.12,-1.21,12,0.263,0.263,0.263,0.263,0.533333333333333,-0.34,-0.853333333333333,-1.12333333333333
2008,-1.08,-1.27,-1.53,-1.13,-0.98,-0.86,-0.87,-1.08,-1.07,-1.12,-1.04,-1.05,12,-1.293,-1.293,-1.293,-1.293,-1.19,-1.21666666666667,-0.936666666666667,-1.08
2009,-1,-0.84,-0.93,-0.81,-0.72,-0.06,0.49,0.52,0.39,0.56,1.05,0.96,12,-0.923,-0.923,-0.923,-0.923,-0.97,-0.823333333333333,0.316666666666667,0.666666666666667
2010,0.94,1.28,1.31,0.49,-0.17,-1.33,-2.43,-2.4,-2.28,-2.18,-2.03,-1.91,12,1.177,1.177,1.177,1.177,1.05666666666667,0.543333333333333,-2.05333333333333,-2.16666666666667
2011,-1.83,-1.63,-1.79,-1.73,-1.29,-1.08,-0.86,-0.88,-1.16,-1.37,-1.21,-1.24,12,-1.75,-1.75,-1.75,-1.75,-1.79,-1.60666666666667,-0.94,-1.24666666666667
2012,-1.08,-0.67,-0.59,-0.43,-0.36,-0.28,0.3,-0.06,-0.32,-0.22,-0.07,-0.06,12,-0.78,-0.78,-0.78,-0.78,-0.996666666666667,-0.456666666666667,-0.0133333333333333,-0.203333333333333
2013,-0.05,-0.07,-0.14,-0.36,-0.71,-1.18,-0.85,-0.5,-0.38,-0.16,-0.17,-0.35,12,-0.087,-0.087,-0.087,-0.087,-0.0633333333333333,-0.406666666666667,-0.843333333333333,-0.24
2014,-0.51,-0.43,-0.07,-0.16,-0.18,-0.01,0.31,0.15,-0.15,0.06,0.34,0.34,12,-0.337,-0.337,-0.337,-0.337,-0.43,-0.14,0.156666666666667,0.0866666666666667
2015,0.23,0.05,0.13,0.35,0.96,1.85,1.72,1.91,2.21,2.11,1.88,1.9,12,0.137,0.137,0.137,0.137,0.206666666666667,0.48,1.83333333333333,2.06666666666667
2016,1.95,1.81,1.32,1.34,1.26,0.36,-0.51,-0.28,-0.34,-0.61,-0.51,-0.34,12,1.693,1.693,1.693,1.693,1.88333333333333,1.3,-0.143333333333333,-0.483333333333333
2017,-0.4,-0.41,-0.58,-0.21,0.17,-0.29,-0.7,-0.77,-0.8,-0.63,-0.63,-0.73,12,-0.463,-0.463,-0.463,-0.463,-0.386666666666667,-0.206666666666667,-0.586666666666667,-0.686666666666667
2018,-0.77,-0.7,-0.79,-1.3,-0.91,-0.51,-0.17,0.37,0.52,0.41,0.26,0.13,12,-0.753,-0.753,-0.753,-0.753,-0.733333333333333,-0.996666666666667,-0.106666666666667,0.396666666666667
2019,0.08,0.53,0.77,0.32,0.26,0.35,0.24,0.29,0.14,0.27,0.45,0.41,12,0.46,0.46,0.46,0.46,0.13,NA,NA,NA
2020,0.29,0.3,0.16,-0.11,-0.23,-0.73,-1.01,-1,-1.19,-1.21,-1.15,-1.16,12,0.25,0.25,0.25,0.25,NA,NA,NA,NA
2021,-1.2,-0.95,-0.79,-0.96,-1.07,-1.11,-1.54,-1.34,-1.42,-1.47,-1.41,-1.22,12,-0.98,-0.98,-0.98,-0.98,NA,NA,NA,NA
2022,-1.02,-0.97,-1.29,-1.61,-1.68,-1.95,-2.22,-1.78,-1.77,-1.76,-1.53,-1.26,12,-1.093,-1.093,-1.093,-1.093,NA,NA,NA,NA
2023,-1.12,-0.9,-0.75,-0.36,-0.06,0.39,0.43,0.45,0.61,0.39,0.81,1.07,12,-0.923,-0.923,-0.923,-0.923,NA,NA,NA,NA
