Year,Oct,Nov,Dec,Jan,Feb,Mar,PDOMeanOctToMar,PDOSumOctToMar,PDOMeanNovToMar,PDOSumNovToMar,PDOMeanDecToMar,PDOSumDecToMar
1900,NA,NA,NA,0.04,1.32,0.49,0.6166666666666667,1.85,0.6166666666666667,1.85,0.6166666666666667,1.85
1901,0.23,-0.44,1.19,0.79,-0.12,0.35,0.3333333333333333,2,0.354,1.77,0.34,1.02
1902,0.16,-0.6,-0.14,0.82,1.58,0.48,0.38333333333333336,2.3,0.428,2.14,0.96,2.88
1903,0.7,0.16,-1.1,0.86,-0.24,-0.22,0.026666666666666644,0.15999999999999986,-0.10800000000000001,-0.54,0.13333333333333333,0.4
1904,0.18,0.08,-0.03,0.63,-0.91,-0.71,-0.12666666666666668,-0.76,-0.188,-0.94,-0.33,-0.99
1905,0.43,1.45,0.06,0.73,0.91,1.31,0.815,4.89,0.892,4.46,0.9833333333333334,2.95
1906,-0.15,1.11,-0.5,0.92,1.18,0.83,0.5650000000000001,3.39,0.708,3.54,0.9766666666666667,2.9299999999999997
1907,0.08,1.69,-0.54,-0.3,-0.32,-0.19,0.06999999999999998,0.41999999999999993,0.06799999999999998,0.3399999999999999,-0.27,-0.81
1908,0.84,0.66,0.72,1.36,1.02,0.67,0.8783333333333334,5.2700000000000005,0.886,4.43,1.0166666666666666,3.0500000000000003
1909,-0.41,0.47,1.16,0.23,1.01,0.54,0.5,3,0.6819999999999999,3.41,0.5933333333333334,1.78
1910,-0.02,-0.4,-0.01,-0.25,-0.7,0.18,-0.2,-1.2,-0.236,-1.18,-0.25666666666666665,-0.77
1911,-0.66,0.02,0.84,-1.11,0,-0.78,-0.2816666666666667,-1.6900000000000002,-0.20600000000000004,-1.0300000000000002,-0.63,-1.8900000000000001
1912,0.2,-0.86,0.01,-1.72,-0.23,-0.04,-0.44,-2.64,-0.568,-2.84,-0.6633333333333333,-1.99
1913,0.56,0.74,0.98,-0.03,0.34,0.06,0.44166666666666665,2.65,0.418,2.09,0.12333333333333334,0.37
1914,0.62,0.75,0.9,0.34,-0.29,0.08,0.4,2.4,0.35600000000000004,1.78,0.04333333333333335,0.13000000000000006
1915,-0.11,0.03,0.89,-0.41,0.14,-1.22,-0.11333333333333331,-0.6799999999999999,-0.11399999999999999,-0.57,-0.49666666666666665,-1.49
1916,-0.43,-0.12,0.17,-0.64,-0.19,-0.11,-0.22,-1.32,-0.178,-0.89,-0.31333333333333335,-0.9400000000000001
1917,-0.22,-0.68,-1.94,-0.79,-0.84,-0.71,-0.8633333333333333,-5.18,-0.992,-4.96,-0.78,-2.34
1918,-1.75,-0.34,-0.6,-1.13,-0.66,-1.15,-0.9383333333333334,-5.63,-0.776,-3.88,-0.98,-2.94
1919,0.61,0.34,0.86,-1.07,1.31,-0.5,0.2583333333333333,1.55,0.188,0.94,-0.08666666666666667,-0.26
1920,-0.42,-0.8,0.76,-1.18,0.06,-0.78,-0.3933333333333333,-2.36,-0.388,-1.94,-0.6333333333333333,-1.9
