year,month,value,BaseMeanMonthly,BaseMeanAnnual,BaseMeanByMonth,anomaly_month,anomaly,anomaly_bymonth,plot_index
1899,1,1009.94,1012.5026187419769,1008.8986153846154,1006.5204615384615,-2.5626187419768485,1.0413846153846862,3.4195384615385365,1
1899,2,1009.32,1012.5026187419769,1008.8986153846154,1007.4270769230769,-3.182618741976853,0.42138461538468164,1.8929230769231253,2
1899,3,1009.78,1012.5026187419769,1008.8986153846154,1011.8067692307692,-2.7226187419769303,0.8813846153846043,-2.0267692307692187,3
1899,4,1014.77,1012.5026187419769,1008.8986153846154,1014.9487692307692,2.2673812580230788,5.871384615384613,-0.17876923076926232,4
1899,5,1014.55,1012.5026187419769,1008.8986153846154,1014.862923076923,2.0473812580230515,5.651384615384586,-0.3129230769230844,5
1899,6,1016.84,1012.5026187419769,1008.8986153846154,1015.0329230769231,4.337381258023129,7.9413846153846634,1.8070769230769201,6
1899,7,1017.79,1012.5026187419769,1008.8986153846154,1017.4910769230769,5.287381258023061,8.891384615384595,0.2989230769230744,7
1899,8,1018,1012.5026187419769,1008.8986153846154,1016.5067692307692,5.497381258023097,9.101384615384632,1.4932307692307631,8
1899,9,1013.85,1012.5026187419769,1008.8986153846154,1014.3078461538462,1.3473812580231197,4.951384615384654,-0.45784615384616245,9
1899,10,1014.54,1012.5026187419769,1008.8986153846154,1012.2369230769231,2.0373812580230606,5.641384615384595,2.303076923076901,10
1899,11,1002.74,1012.5026187419769,1008.8986153846154,1010.7492307692307,-9.762618741976894,-6.158615384615359,-8.009230769230726,11
1899,12,1007.37,1012.5026187419769,1008.8986153846154,1008.0725,-5.1326187419768985,-1.5286153846153638,-0.7024999999999864,12
1900,1,1006.55,1012.5026187419769,1008.8986153846154,1006.5204615384615,-5.9526187419769485,-2.348615384615414,0.029538461538436422,13
1900,2,1006.33,1012.5026187419769,1008.8986153846154,1007.4270769230769,-6.172618741976862,-2.5686153846153275,-1.0970769230768838,14
1900,3,1005.12,1012.5026187419769,1008.8986153846154,1011.8067692307692,-7.3826187419768985,-3.778615384615364,-6.686769230769187,15
1900,4,1013.07,1012.5026187419769,1008.8986153846154,1014.9487692307692,0.567381258023147,4.171384615384682,-1.878769230769194,16
1900,5,1012.47,1012.5026187419769,1008.8986153846154,1014.862923076923,-0.032618741976875754,3.571384615384659,-2.3929230769230116,17
1900,6,1012.52,1012.5026187419769,1008.8986153846154,1015.0329230769231,0.01738125802307877,3.6213846153846134,-2.51292307692313,18
1900,7,1015.89,1012.5026187419769,1008.8986153846154,1017.4910769230769,3.3873812580230833,6.991384615384618,-1.6010769230769029,19
1900,8,1016.46,1012.5026187419769,1008.8986153846154,1016.5067692307692,3.9573812580231333,7.561384615384668,-0.046769230769200476,20
1900,9,1014.93,1012.5026187419769,1008.8986153846154,1014.3078461538462,2.427381258023047,6.031384615384582,0.6221538461537648,21
1900,10,1013.85,1012.5026187419769,1008.8986153846154,1012.2369230769231,1.3473812580231197,4.951384615384654,1.6130769230769602,22
1900,11,1012.12,1012.5026187419769,1008.8986153846154,1010.7492307692307,-0.3826187419768985,3.221384615384636,1.3707692307692696,23
1900,12,1004.3,1012.5026187419769,1008.8986153846154,1008.0725,-8.202618741976949,-4.598615384615414,-3.7725000000000364,24
1901,1,1008.91,1012.5026187419769,1008.8986153846154,1006.5204615384615,-3.592618741976935,0.011384615384599783,2.38953846153845,25
1901,2,1012.12,1012.5026187419769,1008.8986153846154,1007.4270769230769,-0.3826187419768985,3.221384615384636,4.69292307692308,26
1901,3,1012.53,1012.5026187419769,1008.8986153846154,1011.8067692307692,0.027381258023069677,3.6313846153846043,0.7232307692307813,27
1901,4,1021.25,1012.5026187419769,1008.8986153846154,1014.9487692307692,8.747381258023097,12.351384615384632,6.301230769230756,28
1901,5,1016.54,1012.5026187419769,1008.8986153846154,1014.862923076923,4.037381258023061,7.641384615384595,1.6770769230769247,29
1901,6,1014.46,1012.5026187419769,1008.8986153846154,1015.0329230769231,1.9573812580231333,5.561384615384668,-0.5729230769230753,30
1901,7,1016.52,1012.5026187419769,1008.8986153846154,1017.4910769230769,4.017381258023079,7.621384615384613,-0.9710769230769074,31
1901,8,1016.67,1012.5026187419769,1008.8986153846154,1016.5067692307692,4.167381258023056,7.771384615384591,0.16323076923072222,32
1901,9,1013.49,1012.5026187419769,1008.8986153846154,1014.3078461538462,0.9873812580231061,4.591384615384641,-0.8178461538461761,33
1901,10,1011.77,1012.5026187419769,1008.8986153846154,1012.2369230769231,-0.7326187419769212,2.8713846153846134,-0.46692307692308077,34
1901,11,1010.29,1012.5026187419769,1008.8986153846154,1010.7492307692307,-2.2126187419769394,1.3913846153845952,-0.45923076923077133,35
1901,12,1009.09,1012.5026187419769,1008.8986153846154,1008.0725,-3.412618741976871,0.19138461538466345,1.017500000000041,36
1902,1,1006.04,1012.5026187419769,1008.8986153846154,1006.5204615384615,-6.462618741976939,-2.8586153846154048,-0.4804615384615545,37
1902,2,1005.07,1012.5026187419769,1008.8986153846154,1007.4270769230769,-7.432618741976853,-3.8286153846153184,-2.3570769230768747,38
1902,3,1016.9,1012.5026187419769,1008.8986153846154,1011.8067692307692,4.397381258023074,8.001384615384609,5.093230769230786,39
1902,4,1015.07,1012.5026187419769,1008.8986153846154,1014.9487692307692,2.567381258023147,6.171384615384682,0.12123076923080589,40
1902,5,1015.47,1012.5026187419769,1008.8986153846154,1014.862923076923,2.9673812580231242,6.571384615384659,0.6070769230769884,41
