YEAR,Month,AmphiPtSSS,RaceRocksSSS
2000,OCT,30.23,30.96
2000,NOV,30.29,31.25
2000,DEC,29.63,31.4
2001,JAN,29.4,31.37
2001,FEB,30.18,31.19
2001,MAR,30.88,31.67
2001,APR,30.78,31.82
2001,MAY,30.95,31.79
2001,JUN,32.01,31.81
2001,JUL,32.38,31.42
2001,AUG,31.14,31.37
2001,SEP,31.26,31.32
2001,OCT,30.26,31.61
2001,NOV,28.54,31.49
2001,DEC,28.41,31.07
2002,JAN,27.77,30.84
2002,FEB,27.53,30.81
2002,MAR,29.49,31.17
2002,APR,30.03,31.35
2002,MAY,31.19,31.41
2002,JUN,30.86,31.31
2002,JUL,31.07,30.82
2002,AUG,31.16,30.76
2002,SEP,30.75,31.28
2002,OCT,31.5,31.38
2002,NOV,28.48,31.75
2002,DEC,29.51,31.43
2003,JAN,28.08,31.01
2003,FEB,28.4,31.05
2003,MAR,28.31,30.91
2003,APR,26.7,30.73
2003,MAY,29.99,31.17
2003,JUN,31.03,30.8
2003,JUL,31.33,31.16
2003,AUG,31.59,31.21
2003,SEP,31.12,31.45
2003,OCT,29.1,31.69
2003,NOV,29.39,31.05
2003,DEC,28.44,31.09
2004,JAN,27.74,30.92
2004,FEB,28.31,30.71
2004,MAR,28.68,30.99
2004,APR,29.51,31.15
2004,MAY,30.67,31.25
2004,JUN,31.2,31.38
2004,JUL,31.49,31.15
2004,AUG,31.19,31.38
2004,SEP,30.5,31.48
2004,OCT,29.77,31.15
2004,NOV,27.67,31.17
2004,DEC,28.27,31.11
2005,JAN,27.36,30.92
2005,FEB,28.54,30.58
2005,MAR,29.4,31.05
2005,APR,28.15,31.12
2005,MAY,28.89,31.11
2005,JUN,30.32,31.15
2005,JUL,29.93,30.83
2005,AUG,30.83,30.83
2005,SEP,30.48,31.16
2005,OCT,28.2,31.41
2005,NOV,27.54,31.17
2005,DEC,NA,31.21
2006,JAN,26.87,30.8
2006,FEB,25.47,30.23
2006,MAR,28.99,31.19
2006,APR,28.41,31.21
2006,MAY,30.7,31.08
2006,JUN,30.16,31.09
2006,JUL,31.1,30.81
2006,AUG,31.47,31
2006,SEP,30.82,31.48
2006,OCT,30.95,31.54
2006,NOV,29.88,31.15
2006,DEC,28.04,30.98
2007,JAN,26.98,30.65
2007,FEB,27.06,30.8
2007,MAR,25.51,30.84
2007,APR,28.27,30.83
2007,MAY,29.42,30.82
2007,JUN,29.88,30.88
2007,JUL,29.61,30.65
2007,AUG,30,30.48
2007,SEP,30.29,30.79
2007,OCT,NA,31.23
2007,NOV,24.64,31.09
2007,DEC,25.8,31.1
2008,JAN,26.09,30.76
2008,FEB,26.98,30.86
2008,MAR,25.87,31.06
2008,APR,27.25,31.2
2008,MAY,28.12,31.5
2008,JUN,NA,31.19
2008,JUL,31.57,31.31
2008,AUG,31.09,31.3
2008,SEP,31.21,31.13
2008,OCT,29.49,31.53
2008,NOV,27.85,31.23
2008,DEC,28.52,31.53
2009,JAN,27.43,31.25
2009,FEB,29.43,31.52
2009,MAR,28.88,31.43
2009,APR,30.09,30.04
2009,MAY,NA,30.5
2009,JUN,NA,31.31
2009,JUL,NA,31.23
2009,AUG,30.8,31.39
2009,SEP,29.95,30.97
2009,OCT,29.96,31.32
2009,NOV,27.4,31.27
2009,DEC,27.26,30.9
2010,JAN,27.44,30.95
2010,FEB,27.04,30.84
2010,MAR,28.56,31.04
2010,APR,28.28,30.98
2010,MAY,29.48,31.32
2010,JUN,29.56,31
2010,JUL,30.13,30.62
2010,AUG,30.3,31.01
2010,SEP,29.49,31.23
2010,OCT,31.58,31.26
2010,NOV,27.7,31.47
2010,DEC,28.73,31.28
2011,JAN,27.97,30.57
2011,FEB,28.49,30.92
2011,MAR,29.2,30.85
2011,APR,29.53,30.75
2011,MAY,30.49,30.76
2011,JUN,31.81,30.75
2011,JUL,31.78,30.34
2011,AUG,31.68,30.46
2011,SEP,31.51,30.86
2011,OCT,28.87,30.99
2011,NOV,28.87,31.47
2011,DEC,27.69,31.2
2012,JAN,27.56,31.3
2012,FEB,27.26,31.31
2012,MAR,28.02,31.06
2012,APR,26.94,30.84
2012,MAY,28.74,30.69
2012,JUN,29.55,31.12
2012,JUL,30.04,30.56
2012,AUG,30.17,30.39
2012,SEP,30.06,30.59
2012,OCT,29.37,31.1
2012,NOV,28.21,30.92
2012,DEC,27.75,30.54
2013,JAN,28.54,30.54
2013,FEB,29.13,31.1
2013,MAR,27.44,31.27
2013,APR,28.93,31.27
2013,MAY,29.3,31.42
2013,JUN,29.54,31.09
2013,JUL,30.4,30.26
2013,AUG,30.09,31.09
2013,SEP,30.06,31
2013,OCT,29.07,30.97
2013,NOV,29.5,31.29
2013,DEC,29.82,31.45
2014,JAN,29.04,31.49
2014,FEB,29.33,31.43
2014,MAR,28.47,31.01
2014,APR,27.56,30.89
2014,MAY,28.12,31.06
2014,JUN,30.59,30.54
2014,JUL,30.6,30.47
2014,AUG,31.09,30.42
2014,SEP,30.71,31
2014,OCT,30.32,31.25
2014,NOV,28,30.53
2014,DEC,28.54,30.39
2015,JAN,28.92,29.99
2015,FEB,27.9,30.34
2015,MAR,28.76,30.47
2015,APR,29.34,30.48
2015,MAY,31.18,30.9
2015,JUN,31.86,30.77
2015,JUL,31.81,31.11
2015,AUG,31.72,31.78
2015,SEP,30.81,31.46
2015,OCT,30.74,31.62
2015,NOV,29.74,31.62
2015,DEC,29.67,31.36
2016,JAN,29.79,31.31
2016,FEB,27.43,30.91
2016,MAR,28.82,30.74
2016,APR,30.31,30.82
2016,MAY,31.62,30.94
2016,JUN,31.76,30.88
2016,JUL,31.7,30.91
2016,AUG,31.54,30.88
2016,SEP,30.9,31.66
2016,OCT,29.93,31.87
2016,NOV,27.92,31.45
2016,DEC,29.68,31.62
2017,JAN,30.09,31.59
2017,FEB,29.01,31.34
2017,MAR,27.45,31.31
2017,APR,27.19,31.19
2017,MAY,29.01,31.17
2017,JUN,30.19,30.99
2017,JUL,30.78,30.99
2017,AUG,30.77,31.33
2017,SEP,30.82,31.67
2017,OCT,30.5,32.01
2017,NOV,30.24,31.83
2017,DEC,28.91,31.39
2018,JAN,29.14,31.35
2018,FEB,28.32,31.14
2018,MAR,28.79,31.3
2018,APR,28.42,30.96
2018,MAY,30.06,31.22
2018,JUN,30.54,30.72
2018,JUL,30.77,29.93
2018,AUG,31.13,30.37
2018,SEP,29.71,30.93
2018,OCT,30.28,31.1
2018,NOV,27.88,31.12
2018,DEC,28.03,30.96
2019,JAN,27.24,30.67
2019,FEB,29.62,NA
2019,MAR,30.21,NA
2019,APR,29.21,30.85
2019,MAY,29.85,NA
2019,JUN,30.63,NA
2019,JUL,30.27,31.25
2019,AUG,29.71,31.78
2019,SEP,29.34,31.93
2019,OCT,28.84,31.85
2019,NOV,29,31.89
2019,DEC,28.9,32.06
2020,JAN,27.95,31.76
2020,FEB,27.62,31.39
2020,MAR,28.77,31.77
2020,APR,29.25,31.91
2020,MAY,28.76,31.68
2020,JUN,29.39,31.61
2020,JUL,29.32,30.96
2020,AUG,28.84,31.14
2020,SEP,29.04,31.39
2020,OCT,28.52,31.53
2020,NOV,28.2,31.75
2020,DEC,27.46,31.67
2021,JAN,26.65,31.16
2021,FEB,28.25,31.38
2021,MAR,27.75,31.55
2021,APR,28.85,31.71
2021,MAY,29.24,31.95
2021,JUN,29.19,NA
2021,JUL,29.48,NA
2021,AUG,29.25,31.95
2021,SEP,28.83,32.47
2021,OCT,27.12,NA
2021,NOV,25.88,31.7
2021,DEC,26.29,31.42
2022,JAN,26.1,31.34
2022,FEB,27.35,31.77
2022,MAR,26.71,NA
2022,APR,28.47,NA
2022,MAY,28.4,32.25
2022,JUN,28.55,31.93
2022,JUL,29.55,31.59
2022,AUG,29.55,31.65
2022,SEP,30.17,32.12
2022,OCT,30.6,32.55
2022,NOV,29.62,32.58
2022,DEC,29.73,32.38
2023,JAN,27.05,32.37
2023,FEB,28.37,32.22
2023,MAR,28.74,32.29
2023,APR,27.47,32.41
2023,MAY,29.13,32.4
2023,JUN,29.93,32.19
2023,JUL,30.07,32.93
2023,AUG,29.84,32.92
2023,SEP,29.51,33.45
2023,OCT,NA,NA
2023,NOV,NA,NA
2023,DEC,NA,NA
