YEAR,Month,AmphiPtSSS,RaceRocksSSS
1938,JUN,31.92,31.18
1938,JUL,31.76,30.87
1938,AUG,31.79,31.34
1938,SEP,31.77,31.24
1938,OCT,30.73,31.65
1938,NOV,30.4,31.54
1938,DEC,29.5,31.41
1939,JAN,27.88,31.07
1939,FEB,28.42,31.18
1939,MAR,NA,31.44
1939,APR,NA,31.53
1939,MAY,NA,31.31
1939,JUN,NA,31.05
1939,JUL,31.62,31.03
1939,AUG,31.09,30.78
1939,SEP,31.03,31.34
1939,OCT,30.43,31.77
1939,NOV,26.96,NA
1939,DEC,28.72,30.93
1940,JAN,28.8,30.76
1940,FEB,28.24,30.78
1940,MAR,27.94,30.6
1940,APR,29.62,30.92
1940,MAY,29.89,30.65
1940,JUN,31.65,30.6
1940,JUL,31.37,NA
1940,AUG,31.44,NA
1940,SEP,30.74,NA
1940,OCT,28.59,NA
1940,NOV,28.27,NA
1940,DEC,28.83,NA
1941,JAN,28.63,NA
1941,FEB,28.51,NA
1941,MAR,28.77,NA
1941,APR,30.54,NA
1941,MAY,29.04,31.49
1941,JUN,30.82,31.5
1941,JUL,31.42,31.25
1941,AUG,31.73,31.49
1941,SEP,30.18,31.62
1941,OCT,28.23,31.45
1941,NOV,28.9,31.31
1941,DEC,27.99,30.97
1942,JAN,28.39,31.18
1942,FEB,29.06,31
1942,MAR,29.43,31.44
1942,APR,29.74,31.58
1942,MAY,30.33,31.56
1942,JUN,30.59,31.62
1942,JUL,30.24,31.25
1942,AUG,31.43,31.11
1942,SEP,31.41,31.32
1942,OCT,29.72,31.8
1942,NOV,29.64,31.73
1942,DEC,27.52,31.46
1943,JAN,29.43,31.43
1943,FEB,28.76,31.33
1943,MAR,29.52,31.69
1943,APR,27.32,31.28
1943,MAY,30.54,31.53
1943,JUN,31.34,31.51
1943,JUL,31.62,31.34
1943,AUG,31.06,31.12
1943,SEP,30.84,31.2
1943,OCT,30.01,31.46
1943,NOV,29.93,31.53
1943,DEC,29.41,31.6
1944,JAN,29.19,31.6
1944,FEB,29.97,31.57
1944,MAR,30.37,31.8
1944,APR,29.96,31.91
1944,MAY,31.1,31.8
1944,JUN,32.35,32.1
1944,JUL,32.36,31.81
1944,AUG,32.12,31.89
1944,SEP,31.27,31.77
1944,OCT,30.41,31.68
1944,NOV,27.6,31.7
1944,DEC,28.89,31.49
1945,JAN,29.15,31.37
1945,FEB,29.51,31.21
1945,MAR,29.89,31.51
1945,APR,30.2,31.58
1945,MAY,29.64,31.78
1945,JUN,31.63,31.65
1945,JUL,31.53,31.6
1945,AUG,31.89,31.54
1945,SEP,30.71,31.67
1945,OCT,30.3,31.82
1945,NOV,29.15,31.88
1945,DEC,28.57,31.56
1946,JAN,27.87,31.12
1946,FEB,28.54,31.3
1946,MAR,28.1,31.19
1946,APR,28.21,31.43
1946,MAY,30.44,31.39
1946,JUN,29.44,31.06
1946,JUL,30.13,30.76
1946,AUG,30.96,30.95
1946,SEP,30.94,31.44
1946,OCT,30.27,31.54
1946,NOV,30.44,31.8
1946,DEC,28,31.26
1947,JAN,28.54,31.69
1947,FEB,28.17,31.24
1947,MAR,29.08,31.53
1947,APR,29.42,31.72
1947,MAY,30.43,31.63
1947,JUN,30.29,31.28
1947,JUL,29.32,31.43
1947,AUG,31.08,31.08
1947,SEP,31.21,31.48
1947,OCT,29.05,31.66
1947,NOV,30.11,31.24
1947,DEC,29.08,31.34
1948,JAN,28.19,31.07
1948,FEB,28.1,31.42
1948,MAR,29.48,31.4
1948,APR,29.38,31.53
1948,MAY,28.76,31.32
1948,JUN,30.52,30.83
1948,JUL,30.45,30.46
1948,AUG,30.43,31.13
1948,SEP,28.24,31.12
1948,OCT,29.01,31.19
1948,NOV,29.31,31.45
1948,DEC,28.52,31.03
1949,JAN,29.9,31.4
1949,FEB,30.27,31.56
1949,MAR,28.55,31.34
1949,APR,29.14,31.59
1949,MAY,29.15,31.37
1949,JUN,31.33,31.29
1949,JUL,31.61,31.88
1949,AUG,30.22,31.61
1949,SEP,31.07,31.45
1949,OCT,30.22,31.6
1949,NOV,29.5,31.5
1949,DEC,28.86,31.08
1950,JAN,29.39,31.14
1950,FEB,27,31.12
1950,MAR,26.67,30.79
1950,APR,28,31.01
1950,MAY,30.07,31.34
1950,JUN,30.09,31.31
1950,JUL,30.39,30.95
1950,AUG,29.63,31.06
1950,SEP,30.95,31.2
1950,OCT,29.02,31.05
1950,NOV,27.25,30.91
1950,DEC,27.16,30.34
1951,JAN,28.07,30.21
1951,FEB,27.14,30.22
1951,MAR,29.45,30.69
1951,APR,30.64,31.34
1951,MAY,31.03,31.54
1951,JUN,31.08,31.13
1951,JUL,31.12,31.37
1951,AUG,31.78,31.27
1951,SEP,31.53,31.61
1951,OCT,30.26,31.67
1951,NOV,29.57,31.53
1951,DEC,29.6,31.2
1952,JAN,29.96,31.39
1952,FEB,27.38,31
1952,MAR,30.09,31.33
1952,APR,30.48,31.6
1952,MAY,30.47,31.65
1952,JUN,30.54,31.3
1952,JUL,31.28,31.12
1952,AUG,31.24,31.47
1952,SEP,31.36,31.48
1952,OCT,30.99,31.44
1952,NOV,29.9,31.79
1952,DEC,28.79,31.58
1953,JAN,28.08,30.79
1953,FEB,27.97,30.52
1953,MAR,30.39,31.38
1953,APR,30.41,31.45
1953,MAY,29.51,31.44
1953,JUN,31.16,31.21
1953,JUL,31.16,31.2
1953,AUG,30.41,31
1953,SEP,30.73,31.14
1953,OCT,29.02,31.37
1953,NOV,28.62,31.26
1953,DEC,28.54,30.63
1954,JAN,29.16,30.47
1954,FEB,28.43,30.56
1954,MAR,28.1,30.76
1954,APR,30.1,31.06
1954,MAY,31.75,31.41
1954,JUN,30.84,31.41
1954,JUL,30.22,30.74
1954,AUG,30.05,30.76
1954,SEP,30.23,30.67
1954,OCT,29.87,30.87
1954,NOV,27.79,30.73
1954,DEC,27.89,30.49
1955,JAN,29.19,30.67
1955,FEB,29.57,30.77
1955,MAR,31.17,31.37
1955,APR,29.19,31.41
1955,MAY,31.04,31.57
1955,JUN,30.69,31.27
1955,JUL,31.11,31.27
1955,AUG,30.79,30.89
1955,SEP,30.87,30.94
1955,OCT,29.82,31.39
1955,NOV,28.56,30.78
1955,DEC,28.64,30.79
1956,JAN,27.89,30.5
1956,FEB,28.22,31.1
1956,MAR,29.37,31.02
1956,APR,29.83,31.21
1956,MAY,30.54,31.27
1956,JUN,28.6,30.85
1956,JUL,30.3,30.56
1956,AUG,31.03,31.15
1956,SEP,30.96,31.33
1956,OCT,28.24,31.28
1956,NOV,27.79,31.14
1956,DEC,28.17,31.01
1957,JAN,28.98,31.22
1957,FEB,30.03,31.3
1957,MAR,27.83,31.17
1957,APR,29.27,31.28
1957,MAY,30.37,31.44
1957,JUN,30.56,31.2
1957,JUL,29.92,31.15
1957,AUG,30.32,31.35
1957,SEP,29.74,31.24
1957,OCT,30.87,31.12
1957,NOV,29.8,31.35
1957,DEC,28.5,31.29
1958,JAN,27.25,31.05
1958,FEB,27.82,30.82
1958,MAR,27.8,30.89
1958,APR,28.85,31.01
1958,MAY,30.88,31.01
1958,JUN,31.14,30.78
1958,JUL,31.22,30.53
1958,AUG,31.24,31.04
1958,SEP,29.86,31.22
1958,OCT,28.92,31.05
1958,NOV,28.55,30.96
1958,DEC,27.04,30.86
1959,JAN,28.5,30.75
1959,FEB,28.59,30.66
1959,MAR,28.6,30.99
1959,APR,29.18,31.04
1959,MAY,30.09,31.2
1959,JUN,30.08,31.19
1959,JUL,31.2,30.57
1959,AUG,31.32,30.83
1959,SEP,30.15,31.14
1959,OCT,30.14,30.99
1959,NOV,29.88,31.07
1959,DEC,28.09,30.91
1960,JAN,29.24,30.99
1960,FEB,28.4,30.85
1960,MAR,29.74,31.16
1960,APR,27.13,31.14
1960,MAY,28.25,31.13
1960,JUN,30.61,31.06
1960,JUL,31.57,30.66
1960,AUG,30.74,31.02
1960,SEP,30.21,31.04
1960,OCT,29.21,31.21
1960,NOV,28.63,31.15
1960,DEC,28.25,30.84
1961,JAN,27.8,30.63
1961,FEB,26.9,30.65
1961,MAR,27.89,30.43
1961,APR,29.16,30.75
1961,MAY,29.26,30.99
1961,JUN,30.84,30.52
1961,JUL,30.69,30.6
1961,AUG,31.4,31.08
1961,SEP,30.72,31.42
1961,OCT,29.88,31.56
1961,NOV,29.65,31.52
1961,DEC,27.17,31.35
1962,JAN,27.54,31.22
1962,FEB,28.75,31.29
1962,MAR,30.6,31.49
1962,APR,29.85,31.66
1962,MAY,29.82,31.44
1962,JUN,31.31,31.52
1962,JUL,31.97,31.28
1962,AUG,30.01,31.31
1962,SEP,30.98,31.07
1962,OCT,28.48,31.48
1962,NOV,28.27,31.13
1962,DEC,28.14,30.74
1963,JAN,28.99,30.75
1963,FEB,28.46,30.98
1963,MAR,29.19,31.04
1963,APR,28.53,31.08
1963,MAY,30.3,31.19
1963,JUN,31.6,31.26
1963,JUL,30.61,31.16
1963,AUG,31.27,31.18
1963,SEP,30.93,31.36
1963,OCT,28.88,31.33
1963,NOV,27.87,31
1963,DEC,27.21,30.79
1964,JAN,29.34,30.67
1964,FEB,30.75,30.7
1964,MAR,30.68,31.15
1964,APR,31.16,31.42
1964,MAY,30.34,31.68
1964,JUN,30.64,31.49
1964,JUL,28.54,30.85
1964,AUG,29.96,30.75
1964,SEP,30.04,31.14
1964,OCT,29.58,31.22
1964,NOV,29.65,31.31
1964,DEC,29.78,31.16
1965,JAN,27.62,30.47
1965,FEB,28.16,30.86
1965,MAR,29.58,31.21
1965,APR,30.72,31.61
1965,MAY,31,31.51
1965,JUN,31.8,31.24
1965,JUL,32.05,31.65
1965,AUG,31.58,31.55
1965,SEP,31.4,31.4
1965,OCT,26.66,31.77
1965,NOV,27.76,31.25
1965,DEC,28.5,30.98
1966,JAN,27.45,30.83
1966,FEB,28.99,30.87
1966,MAR,27.98,31.03
1966,APR,29.47,31.13
1966,MAY,31.48,31.35
1966,JUN,30.43,31.45
1966,JUL,31.06,31.35
1966,AUG,31.21,31.14
1966,SEP,30.51,31.42
1966,OCT,29.24,31.5
1966,NOV,29.24,31.62
1966,DEC,26.52,31.07
1967,JAN,27.09,30.86
1967,FEB,28.14,30.75
1967,MAR,28.07,30.94
1967,APR,28.9,30.98
1967,MAY,30.68,31.36
1967,JUN,30.95,31.08
1967,JUL,31.25,30.56
1967,AUG,31.39,30.92
1967,SEP,30.66,31.05
1967,OCT,27.44,31.26
1967,NOV,28.4,30.83
1967,DEC,29.66,31.15
1968,JAN,27.55,30.93
1968,FEB,28.6,30.64
1968,MAR,26.96,30.69
1968,APR,29.84,30.85
1968,MAY,30.6,31.28
1968,JUN,30.48,31.02
1968,JUL,30.62,30.64
1968,AUG,30,30.96
1968,SEP,29.22,31.09
1968,OCT,28.41,31.23
1968,NOV,28.19,31.01
1968,DEC,27.89,30.67
1969,JAN,28.42,30.55
1969,FEB,28.21,30.75
1969,MAR,28.78,30.94
1969,APR,27.89,31.08
1969,MAY,29.62,31.06
1969,JUN,30.22,30.83
1969,JUL,31.24,30.86
1969,AUG,31.26,31.2
1969,SEP,29.02,31.07
1969,OCT,28.8,31.12
1969,NOV,27.82,31.42
1969,DEC,29.4,31.15
1970,JAN,29.43,31
1970,FEB,27.92,30.74
1970,MAR,28.94,31.05
1970,APR,30.46,31.5
1970,MAY,30.77,31.71
1970,JUN,32.05,31.24
1970,JUL,31.63,31.19
1970,AUG,31.7,31.65
1970,SEP,31.61,31.79
1970,OCT,30.55,32.1
1970,NOV,30.05,31.84
1970,DEC,28.82,31.42
1971,JAN,27.54,31.25
1971,FEB,27.62,31.04
1971,MAR,28.22,31.1
1971,APR,28.24,30.91
1971,MAY,30.19,31.06
1971,JUN,29.51,31.12
1971,JUL,30.34,30.81
1971,AUG,30.5,30.59
1971,SEP,29.25,30.73
1971,OCT,28.59,31.21
1971,NOV,28.05,31.57
1971,DEC,28.31,31.05
1972,JAN,29.02,30.94
1972,FEB,27.46,30.89
1972,MAR,25.16,30.05
1972,APR,27.81,30.27
1972,MAY,29.9,30.69
1972,JUN,30.98,30.33
1972,JUL,28.95,29.82
1972,AUG,30.89,30.4
1972,SEP,30.55,30.84
1972,OCT,30.66,31.37
1972,NOV,29.62,31.8
1972,DEC,29.11,31.53
1973,JAN,27.71,31.25
1973,FEB,28.86,31.09
1973,MAR,29.11,31.45
1973,APR,30.43,31.66
1973,MAY,30.7,31.94
1973,JUN,29.68,31.77
1973,JUL,31.18,31.3
1973,AUG,31.58,31.62
1973,SEP,31.23,31.83
1973,OCT,29.58,31.95
1973,NOV,28.23,31.64
1973,DEC,27.69,31.12
1974,JAN,28.24,31.14
1974,FEB,26.51,30.92
1974,MAR,27.3,30.97
1974,APR,28.1,31.21
1974,MAY,28.8,31.55
1974,JUN,30.26,31.06
1974,JUL,29.35,30.92
1974,AUG,29.94,30.53
1974,SEP,30.15,31.32
1974,OCT,30.34,31.75
1974,NOV,29.14,32.11
1974,DEC,27.94,31.81
1975,JAN,28.72,31.75
1975,FEB,28.4,31.61
1975,MAR,28.62,31.59
1975,APR,30.14,32
1975,MAY,30.7,32.14
1975,JUN,30.88,32.17
1975,JUL,31.46,31.82
1975,AUG,30.1,31.69
1975,SEP,30.13,31.69
1975,OCT,28.14,32.12
1975,NOV,27.17,31.42
1975,DEC,27.96,30.91
1976,JAN,27.06,30.85
1976,FEB,28.01,31.07
1976,MAR,27.69,31.08
1976,APR,28.76,31.34
1976,MAY,30.09,31.56
1976,JUN,30.16,31.65
1976,JUL,29.74,31.51
1976,AUG,29.5,31.34
1976,SEP,29.32,30.72
1976,OCT,29.05,30.72
1976,NOV,28.97,31.13
1976,DEC,28.83,31.26
1977,JAN,29.24,31.2
1977,FEB,29.27,31.4
1977,MAR,28.83,30.86
1977,APR,29.1,31.59
1977,MAY,29.95,31.46
1977,JUN,30.58,31.24
1977,JUL,31.56,31.54
1977,AUG,31.22,30.97
1977,SEP,30.59,31.31
1977,OCT,30.46,31.67
1977,NOV,28.44,31.52
1977,DEC,27.25,30.73
1978,JAN,28.1,30.75
1978,FEB,28.68,30.67
1978,MAR,29.49,30.73
1978,APR,29.57,30.91
1978,MAY,30.27,31.29
1978,JUN,30.02,31.29
1978,JUL,31.68,31.15
1978,AUG,30.82,31.53
1978,SEP,28.88,31.2
1978,OCT,30.02,31.18
1978,NOV,29.08,31.25
1978,DEC,30.31,31.69
1979,JAN,30.84,31.44
1979,FEB,28.72,31.24
1979,MAR,28.31,31.41
1979,APR,30.44,31.6
1979,MAY,30.91,31.56
1979,JUN,31.39,31.59
1979,JUL,31.25,31.45
1979,AUG,31.45,31.63
1979,SEP,30.04,31.52
1979,OCT,30.42,31.45
1979,NOV,29.63,31.45
1979,DEC,28.98,31.5
1980,JAN,28.31,31.07
1980,FEB,28.81,31.48
1980,MAR,28.09,31.38
1980,APR,29.35,31.71
1980,MAY,30.15,31.71
1980,JUN,30.81,32.01
1980,JUL,30.85,31.92
1980,AUG,30.9,31.78
1980,SEP,29.93,31.93
1980,OCT,30.25,31.94
1980,NOV,28.13,32.06
1980,DEC,26.78,31.75
1981,JAN,28.16,31.15
1981,FEB,28.57,31.41
1981,MAR,28.6,31.16
1981,APR,28.8,31.62
1981,MAY,29.43,31.88
1981,JUN,29.4,31.9
1981,JUL,30.57,32.15
1981,AUG,30.4,32.25
1981,SEP,29.91,32.29
1981,OCT,29.04,32.03
1981,NOV,27.79,31.61
1981,DEC,28.14,31.25
1982,JAN,28.46,31.2
1982,FEB,27.05,31.08
1982,MAR,27.93,30.77
1982,APR,27.45,31.07
1982,MAY,30.32,31.55
1982,JUN,30.76,31.71
1982,JUL,30.44,31.57
1982,AUG,30.74,31.29
1982,SEP,29.69,31.33
1982,OCT,29.27,31.42
1982,NOV,28.17,31.21
1982,DEC,28.88,30.85
1983,JAN,27.48,30.87
1983,FEB,28.15,30.57
1983,MAR,26.89,30.45
1983,APR,28.7,30.81
1983,MAY,29.31,30.93
1983,JUN,29.53,31.03
1983,JUL,29.27,31.1
1983,AUG,29.85,31.01
1983,SEP,29.78,31.08
1983,OCT,29.56,31.27
1983,NOV,27.97,31.06
1983,DEC,28.23,30.58
1984,JAN,27.51,30.46
1984,FEB,28.21,30.54
1984,MAR,27.65,30.46
1984,APR,27.89,30.87
1984,MAY,28.24,31.35
1984,JUN,30.12,31.34
1984,JUL,30.31,31.11
1984,AUG,30.09,31.46
1984,SEP,29.51,31.35
1984,OCT,27.93,31.27
1984,NOV,28.18,31.02
1984,DEC,28.06,31.08
1985,JAN,29.88,31.18
1985,FEB,29.68,31.21
1985,MAR,29.71,31.81
1985,APR,29.5,31.63
1985,MAY,29.3,31.93
1985,JUN,30.49,31.6
1985,JUL,30.72,31.57
1985,AUG,31.17,31.87
1985,SEP,30.64,32.05
1985,OCT,29.82,31.96
1985,NOV,28.76,31.45
1985,DEC,29.63,31.72
1986,JAN,27.76,31.54
1986,FEB,28.15,31.16
1986,MAR,26.49,30.94
1986,APR,28.53,31.27
1986,MAY,28.67,31.64
1986,JUN,29.29,31.25
1986,JUL,29.71,31.36
1986,AUG,30.72,31.17
1986,SEP,30.29,31.67
1986,OCT,30.55,31.8
1986,NOV,29.81,31.82
1986,DEC,27.51,31.5
1987,JAN,27.24,30.98
1987,FEB,27.4,31.02
1987,MAR,27.58,31.03
1987,APR,29.01,31.29
1987,MAY,29.89,31.43
1987,JUN,29.79,31.54
1987,JUL,30.35,31.22
1987,AUG,30.68,31.67
1987,SEP,30.83,31.83
1987,OCT,30.89,31.72
1987,NOV,30.06,31.87
1987,DEC,28.11,31.44
1988,JAN,29.27,31.34
1988,FEB,27.85,31.4
1988,MAR,28.72,31.61
1988,APR,28.67,31.77
1988,MAY,28.02,31.7
1988,JUN,29.58,31.67
1988,JUL,31.06,31.73
1988,AUG,30.9,31.83
1988,SEP,30.56,31.78
1988,OCT,29.52,31.9
1988,NOV,28.78,31.59
1988,DEC,28.57,31.41
1989,JAN,28.09,31.44
1989,FEB,28.87,31.42
1989,MAR,28.57,31.46
1989,APR,27.73,31.39
1989,MAY,30.6,31.89
1989,JUN,30.57,31.99
1989,JUL,30.21,31.23
1989,AUG,31,32.47
1989,SEP,31.04,31.81
1989,OCT,29.97,32.55
1989,NOV,28.69,32.12
1989,DEC,28.5,31.71
1990,JAN,29.54,31.8
1990,FEB,28.53,31.54
1990,MAR,28.41,31.37
1990,APR,29.83,31.57
1990,MAY,31.11,31.76
1990,JUN,30.13,31.37
1990,JUL,30.67,31.81
1990,AUG,31.11,31.21
1990,SEP,30.91,31.29
1990,OCT,29.85,31.84
1990,NOV,27.37,31.43
1990,DEC,27.89,30.56
