YEAR,Month,EntrIslSST,PineIslSST,DeptBaySST
1972,MAY,12.15,7.97,13.05
1972,JUN,14.73,8.73,15.5
1973,APR,9.37,7.6,9.28
1973,MAY,11.7,8.35,12.18
1973,JUN,13.59,8.8,14
1974,APR,8.67,7.54,9.1
1974,MAY,11.13,8.16,11.55
1974,JUN,13.62,8.89,14.97
1975,APR,7.97,7.03,8.71
1975,MAY,10.87,7.85,11.78
1975,JUN,13.74,8.55,14.77
1976,APR,8.67,7.29,10.3
1976,MAY,11.07,7.91,11.23
1976,JUN,13.16,8.66,15.05
1977,APR,9.27,7.88,9.99
1977,MAY,11.63,8.33,12.04
1977,JUN,14.7,9.08,15.86
1978,APR,9.29,8.55,9.48
1978,MAY,11.69,9.15,12.27
1978,JUN,15.19,10.16,15.81
1979,APR,8.8,7.5,9.85
1979,MAY,12.02,8.23,12.72
1979,JUN,14.77,9.06,15.57
1980,APR,9.46,8.55,9.93
1980,MAY,12.15,8.81,12.45
1980,JUN,14.59,9.6,14.85
1981,APR,9.21,8.57,9.82
1981,MAY,12.24,9.07,NA
1981,JUN,13.02,9.49,13.8
1982,APR,8.6,7.89,9.24
1982,MAY,11.69,8.55,11.55
1982,JUN,16.41,9.61,16.77
1983,APR,10.07,9.2,NA
1983,MAY,13.21,9.83,NA
1983,JUN,15.63,10.01,NA
1984,APR,9.55,8.69,NA
1984,MAY,11.32,9.34,NA
1984,JUN,14.6,9.97,NA
1985,APR,8.92,7.91,NA
1985,MAY,11.81,8.69,NA
1985,JUN,14.65,9.74,NA
1986,APR,9.2,8.1,NA
1986,MAY,11.12,8.61,NA
1986,JUN,14.66,9.51,NA
1987,APR,9.87,8.99,10.24
1987,MAY,12.38,9.5,12.56
1987,JUN,15.44,9.94,15.1
1988,APR,9.83,8.44,9.8
1988,MAY,12.03,9.45,12.17
1988,JUN,15.36,10.21,15.51
1989,APR,10.23,7.91,9.93
1989,MAY,14.35,9.15,13.85
1989,JUN,15.89,9.73,15.81
1990,APR,10.61,8.62,10.44
1990,MAY,13.43,9.14,13.03
1990,JUN,15.06,10.16,15.07
1991,APR,10.24,8.16,9.65
1991,MAY,12.77,9.18,12.51
1991,JUN,14.62,9.87,14.6
1992,APR,10.55,9.23,10.56
1992,MAY,14.19,10.01,13.71
1992,JUN,17.01,10.63,16.72
1993,APR,9.54,8.7,9.47
1993,MAY,12.98,10.01,13.17
1993,JUN,17.18,10.84,16.94
1994,APR,10.43,8.72,10.38
1994,MAY,14.05,9.57,13.67
1994,JUN,15.58,10.36,15.43
1995,APR,10.27,8.98,9.75
1995,MAY,14.25,9.76,13.46
1995,JUN,16.52,10.12,15.84
1996,APR,9.65,9.2,9.19
1996,MAY,12.19,10.01,11.84
1996,JUN,15.69,10.27,16.43
1997,APR,9.67,8.44,9.31
1997,MAY,13.31,9.82,12.75
